"דירוג","שחקן","נקודות","מקסיקו נגד דרום אפריקה (מחזור 1)","הולנד נגד יפן (מחזור 1)","חוף השנהב נגד אקוודור (מחזור 1)","שבדיה נגד תוניסיה (מחזור 1)","ספרד נגד כף ורדה (מחזור 1)","בלגיה נגד מצרים (מחזור 1)","ערב הסעודית נגד אורוגוואי (מחזור 1)","איראן נגד ניו זילנד (מחזור 1)","צרפת נגד סנגל (מחזור 1)","עיראק נגד נורבגיה (מחזור 1)","ארגנטינה נגד אלג'יריה (מחזור 1)","דרום קוריאה נגד צ'כיה (מחזור 1)","אוסטריה נגד ירדן (מחזור 1)","פורטוגל נגד קונגו (מחזור 1)","אנגליה נגד קרואטיה (מחזור 1)","גאנה נגד פנמה (מחזור 1)","אוזבקיסטן נגד קולומביה (מחזור 1)","קנדה נגד בוסניה (מחזור 1)","ארה""ב נגד פרגוואי (מחזור 1)","קטאר נגד שווייץ (מחזור 1)","ברזיל נגד מרוקו (מחזור 1)","האיטי נגד סקוטלנד (מחזור 1)","אוסטרליה נגד טורקיה (מחזור 1)","גרמניה נגד קוראסאו (מחזור 1)","מקסיקו נגד דרום קוריאה (מחזור 2)","דרום אפריקה נגד צ'כיה (מחזור 2)","קנדה נגד קטאר (מחזור 2)","בוסניה נגד שווייץ (מחזור 2)","ברזיל נגד האיטי (מחזור 2)","מרוקו נגד סקוטלנד (מחזור 2)","ארה""ב נגד אוסטרליה (מחזור 2)","פרגוואי נגד טורקיה (מחזור 2)","גרמניה נגד חוף השנהב (מחזור 2)","קוראסאו נגד אקוודור (מחזור 2)","הולנד נגד שבדיה (מחזור 2)","יפן נגד תוניסיה (מחזור 2)","בלגיה נגד איראן (מחזור 2)","מצרים נגד ניו זילנד (מחזור 2)","ספרד נגד ערב הסעודית (מחזור 2)","כף ורדה נגד אורוגוואי (מחזור 2)","צרפת נגד עיראק (מחזור 2)","סנגל נגד נורבגיה (מחזור 2)","ארגנטינה נגד אוסטריה (מחזור 2)","אלג'יריה נגד ירדן (מחזור 2)","פורטוגל נגד אוזבקיסטן (מחזור 2)","קונגו נגד קולומביה (מחזור 2)","אנגליה נגד גאנה (מחזור 2)","קרואטיה נגד פנמה (מחזור 2)","מקסיקו נגד צ'כיה (מחזור 3)","דרום אפריקה נגד דרום קוריאה (מחזור 3)","קנדה נגד שווייץ (מחזור 3)","בוסניה נגד קטאר (מחזור 3)","ברזיל נגד סקוטלנד (מחזור 3)","מרוקו נגד האיטי (מחזור 3)","ארה""ב נגד טורקיה (מחזור 3)","פרגוואי נגד אוסטרליה (מחזור 3)","גרמניה נגד אקוודור (מחזור 3)","קוראסאו נגד חוף השנהב (מחזור 3)","הולנד נגד תוניסיה (מחזור 3)","יפן נגד שבדיה (מחזור 3)","בלגיה נגד ניו זילנד (מחזור 3)","מצרים נגד איראן (מחזור 3)","ספרד נגד אורוגוואי (מחזור 3)","כף ורדה נגד ערב הסעודית (מחזור 3)","צרפת נגד נורבגיה (מחזור 3)","סנגל נגד עיראק (מחזור 3)","ארגנטינה נגד ירדן (מחזור 3)","אלג'יריה נגד אוסטריה (מחזור 3)","פורטוגל נגד קולומביה (מחזור 3)","קונגו נגד אוזבקיסטן (מחזור 3)","אנגליה נגד פנמה (מחזור 3)","קרואטיה נגד גאנה (מחזור 3)","נורבגיה נגד קרואטיה (מקום שלישי)","ארגנטינה נגד מקסיקו (גמר)","ארגנטינה נגד נורבגיה (חצי גמר)","קרואטיה נגד מקסיקו (חצי גמר)","ארגנטינה נגד שבדיה (32 הגדולות)","ספרד נגד קנדה (32 הגדולות)","ברזיל נגד סנגל (32 הגדולות)","אנגליה נגד יפן (32 הגדולות)","צרפת נגד אקוודור (32 הגדולות)","גרמניה נגד דרום קוריאה (32 הגדולות)","פורטוגל נגד שווייץ (32 הגדולות)","הולנד נגד מרוקו (32 הגדולות)","אורוגוואי נגד טורקיה (32 הגדולות)","בלגיה נגד אוסטרליה (32 הגדולות)","קרואטיה נגד פנמה (32 הגדולות)","קולומביה נגד עיראק (32 הגדולות)","מקסיקו נגד מצרים (32 הגדולות)","ארה""ב נגד חוף השנהב (32 הגדולות)","אוסטריה נגד ערב הסעודית (32 הגדולות)","נורבגיה נגד ניו זילנד (32 הגדולות)","ארגנטינה נגד ספרד (שמינית גמר)","ברזיל נגד אנגליה (שמינית גמר)","צרפת נגד גרמניה (שמינית גמר)","פורטוגל נגד הולנד (שמינית גמר)","אורוגוואי נגד בלגיה (שמינית גמר)","קרואטיה נגד קולומביה (שמינית גמר)","מקסיקו נגד ארה""ב (שמינית גמר)","אוסטריה נגד נורבגיה (שמינית גמר)","מקסיקו נגד אוסטריה (רבע גמר)","ארגנטינה נגד הולנד (רבע גמר)","בלגיה נגד נורבגיה (רבע גמר)","קרואטיה נגד קולומביה (רבע גמר)"
"1","ברק","623","2-1","2-1","2-1","0-1","1-2","2-0","2-0","0-2","1-2","2-2","0-2","2-2","3-3","2-1","2-2","1-1","3-2","2-2","2-0","0-6","3-1","0-1","4-1","8-0","0-1","0-2","3-3","0-3","6-0","3-0","2-0","1-1","2-1","0-2","3-0","3-3","2-3","0-2","1-2","2-1","1-1","3-0","0-0","1-3","0-2","1-2","0-1","0-1","3-1","0-2","1-2","2-0","2-0","1-0","3-2","1-1","4-0","0-3","0-3","0-3","2-2","0-3","2-2","3-2","2-2","1-3","0-1","0-2","0-2","1-0","1-0","0-3","4-1","2-0","1-0","3-0","2-0","1-0","4-0","2-2","1-1","2-2","3-3","2-1","0-0","4-0","2-0","3-0","2-1","1-2","2-1","4-0","2-0","2-0","4-2","1-1","0-1","3-3","2-2","2-4","1-3","1-3","2-0","2-0"
"2","רוני ברק (בוט)","352","3-3","2-2","3-4","1-1","4-1","4-3","0-4","1-1","1-3","3-4","3-3","0-1","3-4","2-0","0-1","1-3","3-2","1-0","2-1","0-2","0-1","1-1","1-1","4-4","3-2","4-4","4-1","0-1","2-1","4-1","1-0","1-2","4-3","4-1","4-2","3-2","4-2","4-2","3-2","0-3","0-3","2-0","3-2","3-3","3-2","4-2","2-0","3-3","2-2","3-0","0-3","4-0","0-0","3-3","0-2","4-4","4-4","4-1","0-3","0-0","3-1","0-4","3-4","2-2","1-2","3-0","2-4","1-2","3-1","4-3","1-0","0-4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"3","אורן שפירא (בוט)","337","2-0","0-3","1-4","1-3","1-2","4-0","0-2","4-4","4-2","3-4","4-3","4-4","2-0","4-0","3-1","1-0","3-4","0-3","3-1","3-2","0-0","1-0","1-2","2-0","0-4","1-4","2-4","1-3","0-3","1-1","3-2","3-3","2-4","4-1","2-2","2-3","3-3","4-1","4-2","0-4","4-2","4-4","1-2","4-3","3-2","4-2","1-4","2-3","4-4","2-1","2-3","4-3","0-2","0-2","4-3","4-0","0-4","3-3","1-1","3-2","2-1","3-3","3-3","4-2","4-2","3-3","4-0","4-2","3-4","4-0","2-4","0-3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"4","מאיה מזרחי (בוט)","330","3-4","4-4","2-1","4-0","0-4","1-2","1-0","3-1","1-2","2-2","1-3","4-3","0-1","1-1","3-2","2-0","4-1","3-1","3-0","2-4","0-0","0-0","3-0","3-1","0-4","3-0","0-3","1-3","3-4","1-3","1-0","2-0","0-0","2-2","2-4","3-0","3-2","4-0","2-1","4-1","1-4","3-1","4-1","2-1","4-1","0-0","0-4","0-2","3-1","3-1","3-2","1-0","1-2","3-1","3-0","3-4","1-1","3-3","4-0","2-4","2-2","0-2","0-3","4-0","1-1","2-4","0-3","2-0","0-3","1-1","3-3","3-2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"5","עידו שפירא (בוט)","320","2-0","2-0","4-4","1-0","1-1","1-1","4-2","3-3","0-2","1-2","4-1","1-3","4-3","3-3","3-2","1-2","1-1","4-1","1-1","2-1","2-4","4-1","4-0","3-1","3-1","3-3","3-2","2-4","0-1","3-4","0-3","0-2","4-4","0-0","2-2","3-0","2-4","1-1","0-4","3-0","4-4","4-1","2-0","0-3","0-2","4-0","4-0","1-2","0-3","2-4","1-0","1-1","0-0","0-2","3-2","1-4","0-2","3-2","1-0","1-2","4-0","0-0","3-1","2-0","4-1","0-2","3-4","3-3","0-1","2-4","1-0","1-2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"6","נועה גולן (בוט)","320","1-2","0-2","4-0","0-0","3-2","3-0","1-2","3-3","2-3","1-0","4-3","0-0","4-3","3-3","0-2","3-3","0-4","2-3","0-3","4-0","4-0","3-1","4-1","1-4","0-4","1-3","3-2","2-2","0-0","0-0","1-1","3-1","1-4","3-0","1-0","3-3","2-3","1-2","3-2","1-2","4-3","3-1","2-3","3-0","1-0","4-2","2-1","2-0","1-2","0-0","0-1","0-0","0-1","4-4","1-2","2-1","1-0","0-1","0-4","3-3","1-3","4-1","4-3","1-1","1-3","2-3","0-4","4-3","2-3","0-3","2-3","1-3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"7","רוני אברהם (בוט)","315","2-2","2-3","0-1","0-4","2-0","2-4","1-3","4-1","2-2","2-3","3-3","1-1","1-2","2-0","3-1","1-4","3-3","2-1","3-3","4-4","4-3","3-0","2-4","1-4","2-1","1-3","0-0","4-4","3-4","3-0","0-0","4-2","0-4","4-1","3-1","0-3","4-0","0-2","4-1","0-0","2-1","1-2","0-4","3-4","4-4","0-3","2-4","3-4","4-3","1-1","3-1","4-4","1-3","3-4","1-1","3-3","2-2","0-2","1-0","3-2","1-1","1-1","4-1","3-1","3-3","3-1","3-1","2-0","0-2","1-1","4-4","2-1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"8","תמר מזרחי (בוט)","310","3-2","4-0","4-1","3-4","0-1","3-4","4-2","2-1","0-4","0-2","2-4","1-1","4-4","3-4","2-0","4-4","1-4","3-1","0-2","2-0","1-2","2-1","4-2","3-0","1-2","1-1","1-4","4-2","2-1","1-1","4-0","2-1","1-0","2-0","1-1","3-0","0-3","0-1","0-0","0-3","0-0","1-4","4-0","0-4","3-1","1-2","1-1","0-3","2-3","0-1","3-2","1-3","4-1","0-2","4-2","3-3","0-2","2-1","2-3","3-1","3-0","4-3","0-2","1-1","3-4","1-3","4-1","2-2","4-3","4-2","1-4","4-2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"9","עומר שפירא (בוט)","294","3-3","0-1","0-4","4-1","3-0","4-4","4-1","4-1","3-2","3-2","2-2","3-2","3-4","3-2","2-4","3-3","2-4","4-3","2-3","0-3","2-2","2-0","1-2","2-4","4-0","4-1","2-4","2-0","3-2","3-4","4-3","0-1","1-0","3-3","0-1","2-4","3-0","1-0","2-3","0-1","1-1","0-4","0-4","0-3","4-4","1-2","0-1","1-2","4-1","1-4","1-4","2-2","2-3","2-1","4-3","4-3","2-0","3-2","4-0","4-4","3-3","2-4","2-2","2-0","2-4","4-3","0-3","4-0","2-2","3-1","3-1","1-0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"10","תמר שפירא (בוט)","229","3-4","3-2","0-2","3-3","2-3","2-1","4-1","2-3","1-1","2-0","1-4","1-3","4-3","0-0","3-4","2-0","2-2","1-0","2-2","3-4","0-0","1-2","4-1","2-0","4-2","0-3","2-2","4-4","0-4","2-1","0-0","0-3","2-0","4-2","2-2","4-3","0-4","0-3","0-1","1-4","3-0","0-3","0-3","2-2","3-0","1-2","4-1","1-2","1-1","3-0","2-0","2-2","0-3","4-2","1-2","2-0","2-2","2-2","3-1","0-3","3-1","1-4","0-3","0-4","0-2","0-3","2-3","1-2","4-1","4-1","0-0","4-4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
